rota,endereco,numero_quadra,tipo_imovel,numero_imovel,identificacao_armadilha,localizacao,hora,data,tubito_chave,tubito_numero,tubito_quantidade,ocorrencia,,_1,_2,_3,_4,10/01/1900 00:10
1,Rua 13 de Maio,46,C,2757,25,Associação 13 de Maio,13:00,2025-06-04,,,,,,,,,,
2,Rua 13 de Maio,43,C,1900,24,Madereira Rozene Rossini,13:10,2025-06-04,,,,,,,,,,
3,Rua 13 de Maio,36,C,709,23,"Nativa Textil, no porão",13:20,2025-06-04,,,,,,,,,,
4,9 de Dezembro,24,R,1520,22,lado de traz do imovel,13:30,2025-06-04,,,,,,,,,,
5,Rua 26 de Julho,27,O,1778,3,C. M. de Eventos Independente,13:40,2025-06-04,,,,,,,,,,
6,Rua 26 de Julho,27,C,S/N,21,Oficina Weidmann,13:50,2025-06-04,,,,,,,,,,
7,Avenida 26 de Abril,37,C,70,20,"Lanchonete Aurora, depósito",14:00,2025-06-04,,,,,,,,,,
8,Rua 20 de Janeiro,22,R,134,19,"Rancho de Lenha, Fundo da Rua",14:10,2025-06-04,,,,,,,,,,
9,Avenida 26 de Abril,11,C,100,18,SICOOB,14:20,2025-06-04,,,,,,,,,,
11,Rua 15 de Novembro,16,C,74,17,Depósito de Madeira Bagattoli,14:30,2025-06-04,,,,,,,,,,
10,Avenida 26 de Abril,17,C,144,16,"Comercial Oliveira, na garagem",14:40,2025-06-04,,,,,,,,,,
12,Rua 22 de Abril,15,R,115,15,"Lado da garagem ",14:50,2025-06-04,,,,,,,,,,
13,Avenida 26 de Abril,15,C,48,14,"Cravil, atrás",15:00,2025-06-04,,,,,,,,,,
14,Avenida 26 de Abril,8,C,219,13,"Posto São Sebastião, atrás",15:10,2025-06-04,,,,,,,,,,
15,Rua 16 de Julho,15,C,248,12,"Mercado Vendrami, no depósito",15:20,2025-06-04,,,,,,,,,,
16,Avenida 26 de Abril,7,R,398,11,"Loja Isolete, atrás",15:30,2025-06-04,,,,,,,,,,
17,Avenida 26 de Abril,7,C,488,9,"Conservas Alveira, garagem",15:40,2025-06-04,,,,,,,,,,
18,Avenida 26 de Abril,7,R,688,8,Rancho Vicentin,15:50,2025-06-04,,,,,,,,,,
19,Avenida 26 de Abril,8,C,870,7,"Malharia Ivolinda, garagem",16:00,2025-06-04,,,,,,,,,,
20,Avenida 26 de Abril,8,C,1140,6,Garagem Tolfo,16:10,2025-06-04,,,,,,,,,,
21,Avenida 26 de Abril,3,C,1387,5,"Posto JB, atrás do posto",16:20,2025-06-04,,,,,,,,,,
22,Avenida 26 de Abril,8,C,1690,4,"Madereiras Otávio, na garagem",16:30,2025-06-04,,,,,,,,,,
23,Avenida 26 de Abril,5,R,103,1,"Casa entrada ponte, atrás ",16:40,2025-06-04,,,,,,,,,,
24,Rua 20 de Julho,14,O,410,10,"Posto de Saúde, atrás depósito",16:50,2025-06-04,,,,,,,,,,
